Gate,X Parameter,Y Parameter,Count,%Total,%Gated
GFP+,BL1-A,YL2-A,37,0.370,0.370
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,155,1.550,1.550
LG1,,,0,0.000,0.000
GFP+,BL1-A,,34,0.340,25.185
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,135,1.350,1.350
mCh+,YL2-A,,1,0.010,0.741
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,135,1.350,1.350
R1,FSC-H,SSC-H,135,1.350,1.350
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,38,0.380,28.148
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,96,0.960,71.111
mCherry+/GFP-,YL2-A,BL1-A,1,0.010,0.741
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,135,1.350,1.350
R2,BL1-A,YL2-A,1,0.010,100.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1,0.010,0.010
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,1,0.010,0.010
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,30,0.300,0.300
R3,BL1-A,YL2-A,30,0.300,88.235
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,34,0.340,0.340
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,135,1.350,1.350
LG1,,,1,0.010,0.010
GFP+,BL1-A,,3845,38.450,64.492
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,5962,59.620,59.620
mCh+,YL2-A,,170,1.700,2.851
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,5962,59.620,59.620
R1,FSC-H,SSC-H,5962,59.620,59.620
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3981,39.810,66.773
mCherry+/GFP+,YL2-A,BL1-A,69,0.690,1.157
mCherry-/GFP-,YL2-A,BL1-A,1617,16.170,27.122
mCherry+/GFP-,YL2-A,BL1-A,295,2.950,4.948
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,5962,59.620,59.620
R2,BL1-A,YL2-A,99,0.990,58.235
R4,BL1-A,YL2-A,43,0.430,25.294
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,170,1.700,1.700
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,99,0.990,0.990
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3121,31.210,31.210
R3,BL1-A,YL2-A,3121,31.210,81.170
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3845,38.450,38.450
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,43,0.430,0.430
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,5962,59.620,59.620
LG1,,,170,1.700,1.700
GFP+,BL1-A,,30,0.300,28.302
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,106,1.060,1.060
mCh+,YL2-A,,3,0.030,2.830
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,106,1.060,1.060
R1,FSC-H,SSC-H,106,1.060,1.060
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,30,0.300,28.302
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.943
mCherry-/GFP-,YL2-A,BL1-A,70,0.700,66.038
mCherry+/GFP-,YL2-A,BL1-A,5,0.050,4.717
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,106,1.060,1.060
R2,BL1-A,YL2-A,3,0.030,100.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,3,0.030,0.030
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,3,0.030,0.030
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,20,0.200,0.200
R3,BL1-A,YL2-A,20,0.200,66.667
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,30,0.300,0.300
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,106,1.060,1.060
LG1,,,3,0.030,0.030
GFP+,BL1-A,,2,0.020,0.518
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,386,3.860,3.860
mCh+,YL2-A,,1,0.010,0.259
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,386,3.860,3.860
R1,FSC-H,SSC-H,386,3.860,3.860
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,1,0.010,0.259
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.259
mCherry-/GFP-,YL2-A,BL1-A,384,3.840,99.482
mCherry+/GFP-,YL2-A,BL1-A,0,0.000,0.000
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,386,3.860,3.860
R2,BL1-A,YL2-A,0,0.000,0.000
R4,BL1-A,YL2-A,1,0.010,100.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1,0.010,0.010
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,1,0.010,0.010
R3,BL1-A,YL2-A,1,0.010,50.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,2,0.020,0.020
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,1,0.010,0.010
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,386,3.860,3.860
LG1,,,1,0.010,0.010
GFP+,BL1-A,,3626,36.260,69.477
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,5219,52.190,52.190
mCh+,YL2-A,,27,0.270,0.517
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,5219,52.190,52.190
R1,FSC-H,SSC-H,5219,52.190,52.190
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3727,37.270,71.412
mCherry+/GFP+,YL2-A,BL1-A,15,0.150,0.287
mCherry-/GFP-,YL2-A,BL1-A,1397,13.970,26.768
mCherry+/GFP-,YL2-A,BL1-A,80,0.800,1.533
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,5219,52.190,52.190
R2,BL1-A,YL2-A,13,0.130,48.148
R4,BL1-A,YL2-A,6,0.060,22.222
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,27,0.270,0.270
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,13,0.130,0.130
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3029,30.290,30.290
R3,BL1-A,YL2-A,3029,30.290,83.536
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3626,36.260,36.260
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,6,0.060,0.060
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,5219,52.190,52.190
LG1,,,27,0.270,0.270
GFP+,BL1-A,,1240,12.400,35.673
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,3476,34.760,34.760
mCh+,YL2-A,,349,3.490,10.040
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,3476,34.760,34.760
R1,FSC-H,SSC-H,3476,34.760,34.760
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,1257,12.570,36.162
mCherry+/GFP+,YL2-A,BL1-A,46,0.460,1.323
mCherry-/GFP-,YL2-A,BL1-A,1321,13.210,38.003
mCherry+/GFP-,YL2-A,BL1-A,852,8.520,24.511
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,3476,34.760,34.760
R2,BL1-A,YL2-A,311,3.110,89.112
R4,BL1-A,YL2-A,19,0.190,5.444
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,349,3.490,3.490
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,311,3.110,3.110
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,949,9.490,9.490
R3,BL1-A,YL2-A,949,9.490,76.532
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1240,12.400,12.400
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,19,0.190,0.190
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,3476,34.760,34.760
LG1,,,349,3.490,3.490
GFP+,BL1-A,,3498,34.980,67.896
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,5152,51.520,51.520
mCh+,YL2-A,,82,0.820,1.592
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,5152,51.520,51.520
R1,FSC-H,SSC-H,5152,51.520,51.520
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3522,35.220,68.362
mCherry+/GFP+,YL2-A,BL1-A,29,0.290,0.563
mCherry-/GFP-,YL2-A,BL1-A,1332,13.320,25.854
mCherry+/GFP-,YL2-A,BL1-A,269,2.690,5.221
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,5152,51.520,51.520
R2,BL1-A,YL2-A,61,0.610,74.390
R4,BL1-A,YL2-A,7,0.070,8.537
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,82,0.820,0.820
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,61,0.610,0.610
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2885,28.850,28.850
R3,BL1-A,YL2-A,2885,28.850,82.476
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3498,34.980,34.980
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,7,0.070,0.070
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,5152,51.520,51.520
LG1,,,82,0.820,0.820
GFP+,BL1-A,,1095,10.950,24.785
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4418,44.180,44.180
mCh+,YL2-A,,734,7.340,16.614
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4418,44.180,44.180
R1,FSC-H,SSC-H,4418,44.180,44.180
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,1042,10.420,23.585
mCherry+/GFP+,YL2-A,BL1-A,92,0.920,2.082
mCherry-/GFP-,YL2-A,BL1-A,991,9.910,22.431
mCherry+/GFP-,YL2-A,BL1-A,2293,22.930,51.901
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4418,44.180,44.180
R2,BL1-A,YL2-A,621,6.210,84.605
R4,BL1-A,YL2-A,31,0.310,4.223
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,734,7.340,7.340
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,621,6.210,6.210
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,835,8.350,8.350
R3,BL1-A,YL2-A,835,8.350,76.256
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1095,10.950,10.950
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,31,0.310,0.310
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4418,44.180,44.180
LG1,,,734,7.340,7.340
GFP+,BL1-A,,4023,40.230,70.591
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,5699,56.990,56.990
mCh+,YL2-A,,44,0.440,0.772
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,5699,56.990,56.990
R1,FSC-H,SSC-H,5699,56.990,56.990
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,4110,41.100,72.118
mCherry+/GFP+,YL2-A,BL1-A,22,0.220,0.386
mCherry-/GFP-,YL2-A,BL1-A,1443,14.430,25.320
mCherry+/GFP-,YL2-A,BL1-A,124,1.240,2.176
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,5699,56.990,56.990
R2,BL1-A,YL2-A,22,0.220,50.000
R4,BL1-A,YL2-A,8,0.080,18.182
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,44,0.440,0.440
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,22,0.220,0.220
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3317,33.170,33.170
R3,BL1-A,YL2-A,3317,33.170,82.451
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,4023,40.230,40.230
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,8,0.080,0.080
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,5699,56.990,56.990
LG1,,,44,0.440,0.440
GFP+,BL1-A,,2501,25.010,53.179
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4703,47.030,47.030
mCh+,YL2-A,,153,1.530,3.253
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4703,47.030,47.030
R1,FSC-H,SSC-H,4703,47.030,47.030
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,2583,25.830,54.922
mCherry+/GFP+,YL2-A,BL1-A,24,0.240,0.510
mCherry-/GFP-,YL2-A,BL1-A,1607,16.070,34.170
mCherry+/GFP-,YL2-A,BL1-A,489,4.890,10.398
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4703,47.030,47.030
R2,BL1-A,YL2-A,137,1.370,89.542
R4,BL1-A,YL2-A,7,0.070,4.575
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,153,1.530,1.530
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,137,1.370,1.370
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2005,20.050,20.050
R3,BL1-A,YL2-A,2005,20.050,80.168
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,2501,25.010,25.010
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,7,0.070,0.070
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4703,47.030,47.030
LG1,,,153,1.530,1.530
GFP+,BL1-A,,5022,50.220,69.876
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,7187,71.870,71.870
mCh+,YL2-A,,138,1.380,1.920
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,7187,71.870,71.870
R1,FSC-H,SSC-H,7187,71.870,71.870
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5020,50.200,69.848
mCherry+/GFP+,YL2-A,BL1-A,103,1.030,1.433
mCherry-/GFP-,YL2-A,BL1-A,1614,16.140,22.457
mCherry+/GFP-,YL2-A,BL1-A,450,4.500,6.261
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,7187,71.870,71.870
R2,BL1-A,YL2-A,56,0.560,40.580
R4,BL1-A,YL2-A,33,0.330,23.913
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,138,1.380,1.380
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,56,0.560,0.560
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4213,42.130,42.130
R3,BL1-A,YL2-A,4213,42.130,83.891
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5022,50.220,50.220
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,33,0.330,0.330
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,7187,71.870,71.870
LG1,,,138,1.380,1.380
GFP+,BL1-A,,1581,15.810,22.044
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,7172,71.720,71.720
mCh+,YL2-A,,1655,16.550,23.076
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,7172,71.720,71.720
R1,FSC-H,SSC-H,7172,71.720,71.720
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,1380,13.800,19.241
mCherry+/GFP+,YL2-A,BL1-A,298,2.980,4.155
